id,genero_cliente,alias,tipo_servicio,genero_preferencia,tiempo_minutos,valor_total,medio_pago,Fecha_Ingreso
977,Masculino,Shadow,Masaje,Masculino,45,149653,Cripto,2023-05-31
978,Femenino,La Leona,Masaje,Femenino,60,492610,Transferencia,2023-04-07
979,Femenino,Rubí,Servicio premium,Masculino,30,355115,Efectivo,2023-01-10
980,No binario,Bombón,Acompañamiento,Femenino,120,376023,Efectivo,2023-10-19
981,Femenino,La Reina,Masaje,Masculino,60,269409,Transferencia,2023-11-16
982,No binario,Bombón,Masaje,Cualquiera,30,157967,Cripto,2023-08-27
983,Femenino,La Diabla,Baile privado,Femenino,30,89932,Tarjeta,2023-08-03
984,Femenino,La Reina,Masaje,Masculino,60,499127,Cripto,2023-03-17
985,Masculino,Fantasma,Baile privado,Masculino,30,399543,Tarjeta,2023-05-07
986,Femenino,La Pantera,Baile privado,Masculino,30,241911,Efectivo,2023-08-23
987,Masculino,El Papi,Baile privado,Masculino,45,328973,Tarjeta,2023-03-18
988,Femenino,La Pantera,Servicio premium,Cualquiera,120,448648,Cripto,2023-12-08
989,Masculino,El Vato,Masaje,Masculino,30,320958,Tarjeta,2023-08-13
990,Masculino,El Tigre,Servicio premium,Cualquiera,120,146109,Cripto,2023-04-03
991,Masculino,El Papi,Masaje,Masculino,60,259585,Transferencia,2023-05-21
992,Femenino,La Coneja,Baile privado,Masculino,60,178682,Cripto,2023-06-09
993,Femenino,Dulce,Masaje,Masculino,30,222459,Cripto,2023-09-06
994,Femenino,La Chispa,Baile privado,Masculino,60,53967,Transferencia,2023-12-14
995,Masculino,El Duende,Baile privado,Femenino,60,239925,Transferencia,2023-02-08
996,Femenino,Dulce,Acompañamiento,Femenino,45,81829,Tarjeta,2023-05-24
997,Masculino,El Lobo,Acompañamiento,Masculino,60,256571,Cripto,2023-10-06
998,Masculino,El Bravo,Servicio premium,Femenino,60,232105,Transferencia,2023-09-06
999,Femenino,Pecado,Acompañamiento,Masculino,30,91658,Transferencia,2023-04-05
1000,Masculino,El Flaco,Servicio premium,Femenino,120,157233,Efectivo,2023-04-03
